"word,""count"",""Filename"";""Filename"""
"five,""5"",""2020-06-11.csv"";"
"reality,""5"",""2020-06-11.csv"";"
"since,""5"",""2020-06-11.csv"";"
"johnson,""5"",""2020-06-11.csv"";"
"yes,""5"",""2020-06-11.csv"";"
"catching,""5"",""2020-06-11.csv"";"
"germany,""5"",""2020-06-11.csv"";"
"impact,""5"",""2020-06-11.csv"";"
"rare,""5"",""2020-06-11.csv"";"
"travel,""5"",""2020-06-11.csv"";"
"again,""5"",""2020-06-11.csv"";"
"political,""5"",""2020-06-11.csv"";"
"income,""5"",""2020-06-11.csv"";"
"risk,""5"",""2020-06-11.csv"";"
"half,""5"",""2020-06-11.csv"";"
"three,""5"",""2020-06-11.csv"";"
"vims,""5"",""2020-06-11.csv"";"
"lack,""5"",""2020-06-11.csv"";"
"prisoners,""4"",""2020-06-11.csv"";"
"liz,""4"",""2020-06-11.csv"";"
"elected,""4"",""2020-06-11.csv"";"
"house,""4"",""2020-06-11.csv"";"
"started,""4"",""2020-06-11.csv"";"
"university,""4"",""2020-06-11.csv"";"
"joint,""4"",""2020-06-11.csv"";"
"winner,""4"",""2020-06-11.csv"";"
"year,""4"",""2020-06-11.csv"";"
"bernardine,""4"",""2020-06-11.csv"";"
"virtual,""4"",""2020-06-11.csv"";"
"lovely,""4"",""2020-06-11.csv"";"
"traders,""4"",""2020-06-11.csv"";"
"confront,""4"",""2020-06-11.csv"";"
"britain,""4"",""2020-06-11.csv"";"
"bad,""4"",""2020-06-11.csv"";"
"decision,""4"",""2020-06-11.csv"";"
"each,""4"",""2020-06-11.csv"";"
"great,""4"",""2020-06-11.csv"";"
"values,""4"",""2020-06-11.csv"";"
"she,""4"",""2020-06-11.csv"";"
"face,""4"",""2020-06-11.csv"";"
"put,""4"",""2020-06-11.csv"";"
"knows,""4"",""2020-06-11.csv"";"
"80000,""4"",""2020-06-11.csv"";"
"toxic,""4"",""2020-06-11.csv"";"
"contextualised,""4"",""2020-06-11.csv"";"
"perhaps,""4"",""2020-06-11.csv"";"
"museum,""4"",""2020-06-11.csv"";"
"rannot,""4"",""2020-06-11.csv"";"
"done,""4"",""2020-06-11.csv"";"
"needs,""4"",""2020-06-11.csv"";"
"constantly,""4"",""2020-06-11.csv"";"
"working,""4"",""2020-06-11.csv"";"
"lgbt,""4"",""2020-06-11.csv"";"
"cue,""4"",""2020-06-11.csv"";"
"plus,""4"",""2020-06-11.csv"";"
"certain,""4"",""2020-06-11.csv"";"
"led,""4"",""2020-06-11.csv"";"
"rest,""4"",""2020-06-11.csv"";"
"seems,""4"",""2020-06-11.csv"";"
"unacceptable,""4"",""2020-06-11.csv"";"
"numbers,""4"",""2020-06-11.csv"";"
"seeing,""4"",""2020-06-11.csv"";"
"running,""4"",""2020-06-11.csv"";"
"equating,""4"",""2020-06-11.csv"";"
"remember,""4"",""2020-06-11.csv"";"
"curriculum,""4"",""2020-06-11.csv"";"
"four,""4"",""2020-06-11.csv"";"
"protect,""4"",""2020-06-11.csv"";"
"day,""4"",""2020-06-11.csv"";"
"publicly,""4"",""2020-06-11.csv"";"
"measures,""4"",""2020-06-11.csv"";"
