word,count,Filename
2012,1,25/06/2020
2012,1,26/11/2020
2013,2,20/02/2020
2013,2,12/03/2020
2013,1,12/11/2020
2014,1,23/01/2020
2014,1,06/02/2020
2014,3,13/02/2020
2014,1,12/03/2020
2014,1,28/05/2020
2014,1,15/10/2020
2015,1,16/01/2020
2015,3,21/05/2020
2015,1,28/05/2020
2015,7,11/06/2020
2015,4,29/10/2020
2015,1,05/11/2020
2015,1,19/11/2020
2015,2,03/12/2020
2016,2,06/02/2020
2016,2,27/02/2020
2016,1,17/09/2020
2016,1,08/10/2020
2016,3,22/10/2020
2016,5,05/11/2020
2016,1,03/12/2020
2017,1,16/01/2020
2017,2,30/01/2020
2017,1,28/05/2020
2017,1,25/06/2020
2017,1,08/10/2020
2017,1,15/10/2020
2017,1,22/10/2020
2017,4,29/10/2020
2017,1,05/11/2020
2018,3,30/01/2020
2018,3,25/06/2020
2018,3,29/10/2020
2019,1,09/01/2020
2019,1,13/02/2020
2019,3,30/04/2020
2019,1,25/06/2020
2019,1,24/09/2020
2019,1,01/10/2020
2019,5,29/10/2020
2020,1,30/01/2020
2020,2,06/02/2020
2020,1,30/04/2020
2020,2,18/06/2020
2020,1,24/09/2020
2020,1,22/10/2020
2020,1,29/10/2020
2020,1,05/11/2020
2021,1,13/02/2020
2021,2,08/10/2020
2021,1,05/11/2020
2021,2,12/11/2020
2021,4,10/12/2020
2022,1,08/10/2020
2025,1,06/02/2020
2027,4,20/02/2020
2030,1,16/01/2020
2030,3,06/02/2020
2035,2,06/02/2020
2036,1,06/02/2020
2040,1,16/01/2020
2040,1,23/01/2020
2050,10,16/01/2020
2050,4,27/02/2020
2050,1,25/06/2020
2058,1,16/01/2020
2096,1,05/03/2020
2096,1,16/04/2020
2096,1,30/04/2020
2096,2,07/05/2020
2096,2,21/05/2020
2500,5,26/03/2020
2500,1,01/10/2020
2511,1,02/04/2020
2596,1,16/01/2020
2596,1,27/02/2020
2596,2,05/03/2020
2596,1,19/03/2020
2596,2,02/04/2020
2896,1,13/02/2020
3000,5,13/02/2020
3000,2,12/03/2020
3000,3,26/03/2020
3000,4,16/04/2020
3000,1,15/10/2020
3000,1,22/10/2020
3000,1,03/12/2020
3096,1,13/02/2020
3096,2,14/05/2020
3096,1,21/05/2020
3096,1,04/06/2020
3096,1,25/06/2020
3096,1,03/12/2020
3500,1,06/02/2020
3505,1,05/03/2020
